step,epoch,hp_metric,lr-Adam,test/CER,test/DER,test/IER,test/SER,test/loss,train/CER,train/DER,train/IER,train/SER,train/loss,train/lr,val/CER,val/DER,val/IER,val/SER,val/loss
10899,22.0,,,,,,,,,,,,1.4395653009414673,,,,,,
10949,22.0,,,,,,,,,,,,1.5147013664245605,,,,,,
10999,22.0,,,,,,,,,,,,1.4241889715194702,,,,,,
11039,22.0,,,,,,,,0.0,0.0,0.0,0.0,,4.7444937081309035e-05,44.860435485839844,0.9304386377334595,32.89765167236328,11.032343864440918,1.1530853509902954
11040,,,4.721198638435453e-05,,,,,,,,,,,,,,,,
11049,23.0,,,,,,,,,,,,1.2873798608779907,,,,,,
11099,23.0,,,,,,,,,,,,1.3628575801849365,,,,,,
11149,23.0,,,,,,,,,,,,1.3588756322860718,,,,,,
11199,23.0,,,,,,,,,,,,1.6222784519195557,,,,,,
11249,23.0,,,,,,,,,,,,1.3741917610168457,,,,,,
11299,23.0,,,,,,,,,,,,1.4429022073745728,,,,,,
11349,23.0,,,,,,,,,,,,1.4235342741012573,,,,,,
11399,23.0,,,,,,,,,,,,1.4354394674301147,,,,,,
11449,23.0,,,,,,,,,,,,1.3829100131988525,,,,,,
11499,23.0,,,,,,,,,,,,1.1142486333847046,,,,,,
11519,23.0,,,,,,,,0.0,0.0,0.0,0.0,,4.721198638435453e-05,42.99955749511719,1.2848914861679077,31.479841232299805,10.234825134277344,1.1296998262405396
11520,,,4.696951509686187e-05,,,,,,,,,,,,,,,,
11549,24.0,,,,,,,,,,,,1.3837265968322754,,,,,,
11599,24.0,,,,,,,,,,,,1.344655156135559,,,,,,
11649,24.0,,,,,,,,,,,,1.597813606262207,,,,,,
11699,24.0,,,,,,,,,,,,1.4474509954452515,,,,,,
11749,24.0,,,,,,,,,,,,1.3033931255340576,,,,,,
11799,24.0,,,,,,,,,,,,1.5929762125015259,,,,,,
11849,24.0,,,,,,,,,,,,1.3121618032455444,,,,,,
11899,24.0,,,,,,,,,,,,1.5019166469573975,,,,,,
11949,24.0,,,,,,,,,,,,1.3447520732879639,,,,,,
11999,24.0,,,,,,,,0.0,0.0,0.0,0.0,1.5724338293075562,4.696951509686187e-05,43.442623138427734,0.6645990014076233,32.36597442626953,10.4120512008667,1.1139661073684692
12000,,,4.671762144425884e-05,,,,,,,,,,,,,,,,
12049,25.0,,,,,,,,,,,,1.1735879182815552,,,,,,
12099,25.0,,,,,,,,,,,,1.248703956604004,,,,,,
12149,25.0,,,,,,,,,,,,1.2802834510803223,,,,,,
12199,25.0,,,,,,,,,,,,1.4462966918945312,,,,,,
12249,25.0,,,,,,,,,,,,1.3098082542419434,,,,,,
12299,25.0,,,,,,,,,,,,1.23090660572052,,,,,,
12349,25.0,,,,,,,,,,,,1.3090953826904297,,,,,,
12399,25.0,,,,,,,,,,,,1.4584993124008179,,,,,,
12449,25.0,,,,,,,,,,,,1.429970622062683,,,,,,
12479,25.0,,,,,,,,0.0,0.0,0.0,0.0,,4.671762144425884e-05,42.31280517578125,0.9968985319137573,29.929109573364258,11.386796951293945,1.100873589515686
12480,,,4.6456425479846075e-05,,,,,,,,,,,,,,,,
12499,26.0,,,,,,,,,,,,1.0463225841522217,,,,,,
12549,26.0,,,,,,,,,,,,1.280277967453003,,,,,,
12599,26.0,,,,,,,,,,,,1.098780870437622,,,,,,
12649,26.0,,,,,,,,,,,,1.0627797842025757,,,,,,
12699,26.0,,,,,,,,,,,,1.2030836343765259,,,,,,
12749,26.0,,,,,,,,,,,,1.2651827335357666,,,,,,
12799,26.0,,,,,,,,,,,,1.129586935043335,,,,,,
12849,26.0,,,,,,,,,,,,1.2920968532562256,,,,,,
12899,26.0,,,,,,,,,,,,1.2560486793518066,,,,,,
12949,26.0,,,,,,,,,,,,1.0148793458938599,,,,,,
12959,26.0,,,,,,,,0.0,0.0,0.0,0.0,,4.6456425479846075e-05,42.024810791015625,0.7532122135162354,31.169694900512695,10.10190486907959,1.0769034624099731
12960,,,4.6186032705008984e-05,,,,,,,,,,,,,,,,
12999,27.0,,,,,,,,,,,,1.1617696285247803,,,,,,
13049,27.0,,,,,,,,,,,,1.4929850101470947,,,,,,
13099,27.0,,,,,,,,,,,,1.4358959197998047,,,,,,
13149,27.0,,,,,,,,,,,,1.1920561790466309,,,,,,
13199,27.0,,,,,,,,,,,,1.0965576171875,,,,,,
13249,27.0,,,,,,,,,,,,1.2423858642578125,,,,,,
13299,27.0,,,,,,,,,,,,1.572630763053894,,,,,,
13349,27.0,,,,,,,,,,,,1.294567346572876,,,,,,
13399,27.0,,,,,,,,,,,,1.3854167461395264,,,,,,
13439,27.0,,,,,,,,0.0,0.0,0.0,0.0,,4.6186032705008984e-05,38.52458953857422,1.3956578969955444,24.78954315185547,12.339388847351074,1.0519949197769165
13440,,,4.590657044900581e-05,,,,,,,,,,,,,,,,
13449,28.0,,,,,,,,,,,,1.158172369003296,,,,,,
13499,28.0,,,,,,,,,,,,1.2652620077133179,,,,,,
13549,28.0,,,,,,,,,,,,1.3936004638671875,,,,,,
13599,28.0,,,,,,,,,,,,1.4214941263198853,,,,,,
13649,28.0,,,,,,,,,,,,1.3148810863494873,,,,,,
13699,28.0,,,,,,,,,,,,1.1508190631866455,,,,,,
13749,28.0,,,,,,,,,,,,1.5059013366699219,,,,,,
13799,28.0,,,,,,,,,,,,1.2928698062896729,,,,,,
13849,28.0,,,,,,,,,,,,1.6827640533447266,,,,,,
13899,28.0,,,,,,,,,,,,1.1940715312957764,,,,,,
13919,28.0,,,,,,,,0.0,0.0,0.0,0.0,,4.590657044900581e-05,38.76827621459961,0.8861320614814758,26.761186599731445,11.120957374572754,1.0301997661590576
13920,,,4.561815512715839e-05,,,,,,,,,,,,,,,,
13949,29.0,,,,,,,,,,,,1.2622272968292236,,,,,,
13999,29.0,,,,,,,,,,,,1.1023458242416382,,,,,,
14049,29.0,,,,,,,,,,,,1.2241706848144531,,,,,,
14099,29.0,,,,,,,,,,,,1.242618203163147,,,,,,
14149,29.0,,,,,,,,,,,,1.1493057012557983,,,,,,
14199,29.0,,,,,,,,,,,,1.3712677955627441,,,,,,
14249,29.0,,,,,,,,,,,,1.2354758977890015,,,,,,
14299,29.0,,,,,,,,,,,,1.1535049676895142,,,,,,
14349,29.0,,,,,,,,,,,,1.1530101299285889,,,,,,
14399,29.0,,,,,,,,0.0,0.0,0.0,0.0,1.1325973272323608,4.561815512715839e-05,35.356666564941406,1.3513513803482056,22.552061080932617,11.453256607055664,0.9826974868774414
14400,,,4.532091770670377e-05,,,,,,,,,,,,,,,,
14449,30.0,,,,,,,,,,,,1.3568695783615112,,,,,,
14499,30.0,,,,,,,,,,,,1.1048104763031006,,,,,,
14549,30.0,,,,,,,,,,,,1.2495172023773193,,,,,,
14599,30.0,,,,,,,,,,,,1.2103118896484375,,,,,,
14649,30.0,,,,,,,,,,,,1.1856540441513062,,,,,,
14699,30.0,,,,,,,,,,,,1.2735376358032227,,,,,,
14749,30.0,,,,,,,,,,,,1.3255715370178223,,,,,,
14799,30.0,,,,,,,,,,,,1.5028542280197144,,,,,,
14849,30.0,,,,,,,,,,,,1.176928997039795,,,,,,
14879,30.0,,,,,,,,0.0,0.0,0.0,0.0,,4.532091770670377e-05,36.39787292480469,1.0412051677703857,24.10279083251953,11.253876686096191,0.9963659048080444
14880,,,4.501498187892139e-05,,,,,,,,,,,,,,,,
14899,31.0,,,,,,,,,,,,1.2366890907287598,,,,,,
14949,31.0,,,,,,,,,,,,1.5664271116256714,,,,,,
14999,31.0,,,,,,,,,,,,0.9428202509880066,,,,,,
15049,31.0,,,,,,,,,,,,1.3072600364685059,,,,,,
15099,31.0,,,,,,,,,,,,1.1220933198928833,,,,,,
15149,31.0,,,,,,,,,,,,1.2085025310516357,,,,,,
15199,31.0,,,,,,,,,,,,1.0541415214538574,,,,,,
15249,31.0,,,,,,,,,,,,1.464821219444275,,,,,,
15299,31.0,,,,,,,,,,,,1.4594199657440186,,,,,,
15349,31.0,,,,,,,,,,,,1.046321153640747,,,,,,
15359,31.0,,,,,,,,0.0,0.0,0.0,0.0,,4.501498187892139e-05,36.3757209777832,1.8165706396102905,21.089942932128906,13.469206809997559,1.031258225440979
15360,,,4.470048952498473e-05,,,,,,,,,,,,,,,,
15399,32.0,,,,,,,,,,,,1.0836548805236816,,,,,,
15449,32.0,,,,,,,,,,,,1.2770304679870605,,,,,,
15499,32.0,,,,,,,,,,,,1.238318920135498,,,,,,
15549,32.0,,,,,,,,,,,,0.9420536756515503,,,,,,
15599,32.0,,,,,,,,,,,,1.4144917726516724,,,,,,
15649,32.0,,,,,,,,,,,,1.7318410873413086,,,,,,
15699,32.0,,,,,,,,,,,,1.4164472818374634,,,,,,
