step,epoch,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,val/CER,val/DER,val/IER,val/SER,val/loss
1799,15,,99.9421844482422,0.0,99.93392944335938,0.0082591157406568,2.796562433242798,99.60124206542967,0.0,99.60124206542967,0.0,2.7627272605896
1800,16,0.0004984312108717,,,,,,,,,,
1849,16,,,,,,2.5740115642547607,,,,,
1899,16,,,,,,2.809212207794189,,,,,
1919,16,,99.3611831665039,0.0013767656637355,99.32814025878906,0.0316656120121479,,97.31945037841795,0.0,97.0536117553711,0.2658396065235138,2.558390855789185
1920,17,0.0004977419739589,,,,,,,,,,
1949,17,,,,,,2.529417991638184,,,,,
1999,17,,,,,,2.6002206802368164,,,,,
2039,17,,97.43099212646484,0.0013767468044534,97.20245361328124,0.2271632105112075,,95.7244110107422,0.0,95.19273376464844,0.5316792130470276,2.4921140670776367
2040,18,0.0004969282308593,,,,,,,,,,
2049,18,,,,,,2.50674819946289,,,,,
2099,18,,,,,,2.584169387817383,,,,,
2149,18,,,,,,2.394237995147705,,,,,
2159,18,,94.16300201416016,0.0013818644220009,93.44719696044922,0.7144238948822021,,89.96455383300781,0.0,87.83783721923828,2.1267168521881104,2.251413345336914
2160,19,0.0004959904472343,,,,,,,,,,
2199,19,,,,,,2.585014581680298,,,,,
2249,19,,,,,,2.426952838897705,,,,,
2279,19,,89.74002838134766,0.0054991133511066,87.82083892822266,1.9136914014816284,,83.5179443359375,0.0221533011645078,79.97341918945312,3.5223748683929443,2.110999345779419
2280,20,0.0004949290305376,,,,,,,,,,
2299,20,,,,,,2.2117505073547363,,,,,
2349,20,,,,,,2.216245651245117,,,,,
2399,20,,85.52369689941406,0.0041133644990623,82.18639373779297,3.3331961631774902,2.192291498184204,82.69827270507812,0.0221533011645078,78.37837982177734,4.297740459442139,2.0375430583953857
2400,21,0.000493744504638,,,,,,,,,,
2449,21,,,,,,1.993177056312561,,,,,
2499,21,,,,,,1.9311912059783936,,,,,
2519,21,,81.19309997558594,0.0578504428267478,76.12154388427734,5.013705253601074,,77.66947174072266,0.0886132046580314,70.38103485107422,7.199822902679443,2.0439419746398926
2520,22,0.0004924375098198,,,,,,,,,,
2549,22,,,,,,1.9848735332489007,,,,,
2599,22,,,,,,1.8165483474731443,,,,,
2639,22,,76.76260375976562,0.1290127784013748,69.82884979248047,6.804737567901611,,68.01063537597656,0.3987594246864319,57.68719482421875,9.924678802490234,1.7510195970535278
2640,23,0.000491008744575,,,,,,,,,,
2649,23,,,,,,1.859778642654419,,,,,
2699,23,,,,,,1.7895773649215698,,,,,
2749,23,,,,,,1.9923176765441888,,,,,
2759,23,,71.1767807006836,0.3332323431968689,61.43730545043945,9.406240463256836,,68.12139892578125,0.3544528186321258,57.59858322143555,10.168365478515623,1.743309736251831
2760,24,0.0004894588491879,,,,,,,,,,
2799,24,,,,,,1.813346028327942,,,,,
2849,24,,,,,,1.7213668823242188,,,,,
2879,24,,63.93595886230469,0.847935140132904,50.3758659362793,12.71215534210205,,61.67478942871094,0.9082853198051452,45.34780502319336,15.418697357177734,1.7081916332244873
2880,25,0.0004877886094618,,,,,,,,,,
2899,25,,,,,,1.6652765274047852,,,,,
2949,25,,,,,,1.592563509941101,,,,,
2999,25,,58.00918960571289,1.7124229669570925,40.57960891723633,15.717154502868652,1.5129354000091553,52.10456466674805,2.769162654876709,33.34071731567383,15.994683265686035,1.4119607210159302
3000,26,0.0004859988985117,,,,,,,,,,
3049,26,,,,,,1.5303434133529663,,,,,
3099,26,,,,,,1.497851848602295,,,,,
3119,26,,53.31599426269531,2.506089687347412,33.01129913330078,17.79860496520996,,49.75631332397461,3.4559149742126465,29.86264991760254,16.4377498626709,1.357923150062561
3120,27,0.0004840905894525,,,,,,,,,,
3149,27,,,,,,1.448642015457153,,,,,
3199,27,,,,,,1.5692814588546753,,,,,
3239,27,,49.85063171386719,3.4416773319244385,27.47972869873047,18.92922592163086,,45.08196640014648,3.4559149742126465,25.52060317993164,16.105449676513672,1.3027186393737793
3240,28,0.0004820647009182,,,,,,,,,,
3249,28,,,,,,1.4461922645568848,,,,,
3299,28,,,,,,1.435386300086975,,,,,
3349,28,,,,,,1.3903616666793823,,,,,
3359,28,,47.49275970458984,4.050475597381592,24.044960021972656,19.39732360839844,,41.38236618041992,5.715551853179932,16.326982498168945,19.339832305908203,1.2472063302993774
3360,29,0.0004799221933353,,,,,,,,,,
3399,29,,,,,,1.427570343017578,,,,,
3449,29,,,,,,1.2292695045471191,,,,,
3479,29,,44.22429656982422,4.597479820251465,20.108821868896484,19.51799201965332,,40.23039245605469,5.560478687286377,15.994683265686035,18.67523193359375,1.1712193489074707
3480,30,0.0004776641435455,,,,,,,,,,
3499,30,,,,,,1.3325488567352295,,,,,
3549,30,,,,,,1.2665927410125732,,,,,
3599,30,,42.25907516479492,5.145503044128418,17.78324317932129,19.3303279876709,1.2583047151565552,40.11962890625,4.740806579589844,18.697385787963867,16.681434631347656,1.1709294319152832
3600,31,0.0004752917448058,,,,,,,,,,
3649,31,,,,,,1.2230615615844729,,,,,
3699,31,,,,,,1.2790980339050293,,,,,
3719,31,,40.38286590576172,5.441399097442627,16.074920654296875,18.86654663085937,,40.695613861083984,4.031900882720947,17.833406448364258,18.830305099487305,1.195034146308899
3720,32,0.0004728061321657,,,,,,,,,,
3749,32,,,,,,1.138355016708374,,,,,
3799,32,,,,,,1.2670912742614746,,,,,
3839,32,,39.30317306518555,5.509881019592285,15.127728462219238,18.665565490722656,,37.85999298095703,5.449711799621582,11.696943283081056,20.71333694458008,1.200432300567627
3840,33,0.0004702085861936,,,,,,,,,,
3849,33,,,,,,1.0145881175994873,,,,,
3899,33,,,,,,1.1033687591552734,,,,,
3949,33,,,,,,1.1092922687530518,,,,,
3959,33,,37.80797958374024,5.383864879608154,13.994200706481934,18.429912567138672,,35.31236267089844,5.2946391105651855,13.15906047821045,16.858661651611328,1.0871970653533936
3960,34,0.0004675004165619,,,,,,,,,,
3999,34,,,,,,1.214815378189087,,,,,
4049,34,,,,,,0.9613656997680664,,,,,
4079,34,,36.95763397216797,5.621436595916748,13.426839828491213,17.90935516357422,,34.337615966796875,5.183872222900391,13.07044792175293,16.083295822143555,1.0802260637283323
4080,35,0.0004646829620469,,,,,,,,,,
4099,35,,,,,,1.0854947566986084,,,,,
4149,35,,,,,,1.1515055894851685,,,,,
4199,35,,35.551456451416016,5.7086615562438965,12.374043464660645,17.468751907348633,1.0620135068893433,32.388126373291016,5.449711799621582,10.168365478515623,16.770048141479492,1.0075958967208862
4200,36,0.00046175767784,,,,,,,,,,
4249,36,,,,,,1.127311944961548,,,,,
4299,36,,,,,,1.021150827407837,,,,,
4319,36,,34.51313018798828,5.56973123550415,11.76914405822754,17.174253463745117,,34.35976791381836,4.8072662353515625,12.78245449066162,16.770048141479492,1.0503721237182615
4320,37,0.0004587260191328,,,,,,,,,,
4349,37,,,,,,1.1469647884368896,,,,,
4399,37,,,,,,1.0756889581680298,,,,,
4439,37,,33.22307586669922,5.421869277954102,10.703161239624023,17.098045349121094,,29.66326904296875,6.269383907318115,7.288435935974121,16.105449676513672,0.9518195986747742
4440,38,0.0004555895284283,,,,,,,,,,
4449,38,,,,,,0.970481276512146,,,,,
4499,38,,,,,,1.0047799348831177,,,,,
4549,38,,,,,,0.895561933517456,,,,,
4559,38,,31.52716064453125,5.796424388885498,9.616732597351074,16.114004135131836,,32.609657287597656,4.984492778778076,10.478510856628418,17.14665412902832,1.0327932834625244
4560,39,0.0004523497482296,,,,,,,,,,
4599,39,,,,,,1.0183638334274292,,,,,
4649,39,,,,,,0.9356568455696106,,,,,
4679,39,,31.566858291625977,5.811074733734131,9.61268711090088,16.143096923828125,,30.926008224487305,6.114311218261719,7.066903114318848,17.744794845581055,1.008499264717102
4680,40,0.0004490083374548,,,,,,,,,,
4699,40,,,,,,1.0308914184570312,,,,,
4749,40,,,,,,0.8605255484580994,,,,,
4799,40,,30.405256271362305,5.820411205291748,8.531288146972656,16.053558349609375,0.9019234776496888,30.06202888488769,6.114311218261719,7.044749736785889,16.902969360351562,0.9871317744255066
4800,41,0.0004455669550225,,,,,,,,,,
4849,41,,,,,,1.0331881046295166,,,,,
4899,41,,,,,,0.989232301712036,,,,,
4919,41,,30.56640243530273,6.033804893493652,8.97964859008789,15.552948951721191,,27.580860137939453,6.291537284851074,5.892777919769287,15.396544456481934,0.9202515482902528
4920,42,0.0004420273762661,,,,,,,,,,
4949,42,,,,,,0.9798896908760072,,,,,
4999,42,,,,,,0.8975369334220886,,,,,
5039,42,,29.223751068115234,5.959557056427002,8.18993854522705,15.074254989624023,,28.37837791442871,6.003544330596924,6.2029242515563965,16.17190933227539,0.944615364074707
5040,43,0.0004383913183119,,,,,,,,,,
5049,43,,,,,,0.8993238210678101,,,,,
5099,43,,,,,,0.8069137334823608,,,,,
5149,43,,,,,,0.9226008653640748,,,,,
5159,43,,29.343969345092773,6.070691585540772,8.29596996307373,14.977307319641112,,27.580860137939453,5.759858131408691,7.377048969268799,14.443952560424805,0.9100785255432128
5160,44,0.0004346607020124,,,,,,,,,,
5199,44,,,,,,1.0379862785339355,,,,,
5249,44,,,,,,0.9060734510421752,,,,,
5279,44,,28.70118522644043,5.804563522338867,7.941415786743164,14.955205917358398,,29.751882553100582,5.16171932220459,7.177669525146484,17.412494659423828,0.9732604026794434
5280,45,0.0004308373318053,,,,,,,,,,
5299,45,,,,,,0.9928656816482544,,,,,
5349,45,,,,,,0.9425204396247864,,,,,
