step,epoch,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,val/CER,val/DER,val/IER,val/SER,val/loss
4080,35,0.0004646829620469,,,,,,,,,,
4099,35,,,,,,0.6849119663238525,,,,,
4149,35,,,,,,0.8532789945602417,,,,,
4199,35,,23.04663848876953,6.442376613616943,5.968834400177002,10.635427474975586,0.7324256896972656,27.4257869720459,6.025697708129883,5.604784965515137,15.795303344726562,0.914460062980652
4200,36,0.00046175767784,,,,,,,,,,
4249,36,,,,,,0.6362280249595642,,,,,
4299,36,,,,,,0.7420042157173157,,,,,
4319,36,,22.58100128173828,6.40564489364624,5.967392921447754,10.207962989807127,,31.479841232299805,6.003544330596924,8.108108520507812,17.368186950683594,1.0245325565338137
4320,37,0.0004587260191328,,,,,,,,,,
4349,37,,,,,,0.7221171855926514,,,,,
4399,37,,,,,,0.7201554775238037,,,,,
4439,37,,22.20494270324707,6.521799087524414,5.624518394470215,10.058626174926758,,30.926008224487305,5.250332355499268,8.21887493133545,17.45680046081543,1.0125668048858645
4440,38,0.0004555895284283,,,,,,,,,,
4449,38,,,,,,0.6613550782203674,,,,,
4499,38,,,,,,0.5788332223892212,,,,,
4549,38,,,,,,0.5339781641960144,,,,,
4559,38,,20.90022850036621,6.397158145904541,5.226778507232666,9.276291847229004,,29.153743743896484,4.585733413696289,9.548072814941406,15.019937515258787,0.9555844068527222
4560,39,0.0004523497482296,,,,,,,,,,
4599,39,,,,,,0.7941555976867676,,,,,
4649,39,,,,,,0.7459439039230347,,,,,
4679,39,,20.54871940612793,6.243712902069092,4.975954055786133,9.329051971435549,,28.289764404296875,5.582631587982178,6.291537284851074,16.41559600830078,0.9460926651954652
4680,40,0.0004490083374548,,,,,,,,,,
4699,40,,,,,,0.6495254039764404,,,,,
4749,40,,,,,,0.6114722490310669,,,,,
4799,40,,20.01897048950196,6.075935363769531,4.794765472412109,9.148269653320312,0.6676024198532104,33.76163101196289,6.889676570892334,7.509968757629394,19.361984252929688,1.1166929006576538
4800,41,0.0004455669550225,,,,,,,,,,
4849,41,,,,,,0.6742196083068848,,,,,
4899,41,,,,,,0.6822487115859985,,,,,
4919,41,,20.163822174072266,5.823237895965576,5.089482307434082,9.25110149383545,,26.84980010986328,5.095259189605713,7.044749736785889,14.709792137145996,0.8878079056739807
4920,42,0.0004420273762661,,,,,,,,,,
4949,42,,,,,,0.6393815875053406,,,,,
4999,42,,,,,,0.5818474292755127,,,,,
5039,42,,19.148643493652344,5.776277542114258,4.643890380859375,8.728474617004395,,28.910057067871094,4.076207160949707,8.728400230407715,16.105449676513672,0.9818522334098816
5040,43,0.0004383913183119,,,,,,,,,,
5049,43,,,,,,0.5767853856086731,,,,,
5099,43,,,,,,0.6081425547599792,,,,,
5149,43,,,,,,0.6627758741378784,,,,,
5159,43,,18.598464965820312,5.654109477996826,4.303298473358154,8.641056060791016,,30.615861892700195,4.164820671081543,10.92157745361328,15.529463768005373,1.0251463651657104
5160,44,0.0004346607020124,,,,,,,,,,
5199,44,,,,,,0.7238509058952332,,,,,
5249,44,,,,,,0.6383450627326965,,,,,
5279,44,,18.264545440673828,5.80963134765625,4.241581439971924,8.213332176208496,,25.94151496887207,4.696499824523926,7.02259635925293,14.222418785095217,0.855260968208313
5280,45,0.0004308373318053,,,,,,,,,,
5299,45,,,,,,0.5370535850524902,,,,,
5349,45,,,,,,0.6338003277778625,,,,,
5399,45,,17.201932907104492,5.714246273040772,3.912283420562744,7.575403213500977,0.5477324724197388,27.337173461914062,4.718653202056885,7.731502056121826,14.887018203735352,0.929023265838623
5400,46,0.0004269231285434,,,,,,,,,,
5449,46,,,,,,0.5474328398704529,,,,,
5499,46,,,,,,0.5543709993362427,,,,,
5519,46,,16.869447708129883,5.650278568267822,3.917673587799072,7.301495552062988,,26.93841361999512,4.519273281097412,7.620735645294189,14.798404693603516,0.8951295614242554
5520,47,0.0004229201294947,,,,,,,,,,
5549,47,,,,,,0.5854586958885193,,,,,
5599,47,,,,,,0.5485833287239075,,,,,
5639,47,,16.836544036865234,5.810793876647949,3.7322592735290527,7.293491363525391,,27.4700927734375,4.497119903564453,8.994239807128906,13.97873306274414,0.8977272510528564
5640,48,0.0004188303137198,,,,,,,,,,
5649,48,,,,,,0.5977165699005127,,,,,
5699,48,,,,,,0.5457329154014587,,,,,
5749,48,,,,,,0.5375930070877075,,,,,
5759,48,,16.229625701904297,5.743382453918457,3.648882627487183,6.837360382080078,,21.24501609802246,5.316792011260986,4.054054260253906,11.87416934967041,0.7684573531150818
5760,49,0.0004146557184867,,,,,,,,,,
5799,49,,,,,,0.5267804861068726,,,,,
5849,49,,,,,,0.6381517648696899,,,,,
5879,49,,15.970836639404297,5.633124828338623,3.591718912124634,6.745993614196777,,28.02392578125,4.89587926864624,8.263181686401367,14.86486530303955,0.9506378173828124
5880,50,0.0004103984683752,,,,,,,,,,
5899,50,,,,,,0.5521742105484009,,,,,
5949,50,,,,,,0.5448486804962158,,,,,
5999,50,,15.467591285705566,5.873161792755127,3.353938579559326,6.240491390228272,0.5164230465888977,27.64731979370117,4.209126949310303,9.836065292358398,13.602127075195312,0.9120246171951294
6000,51,0.0004060607170686,,,,,,,,,,
6049,51,,,,,,0.5041038393974304,,,,,
6099,51,,,,,,0.5873167514801025,,,,,
6119,51,,15.431554794311523,5.564891815185547,3.458772897720337,6.4078898429870605,,24.05848503112793,5.006646156311035,5.095259189605713,13.956579208374023,0.8296754956245422
6120,52,0.0004016446182504,,,,,,,,,,
6149,52,,,,,,0.5779381990432739,,,,,
6199,52,,,,,,0.5052720904350281,,,,,
6239,52,,15.260421752929688,5.611720085144043,3.419706106185913,6.228995323181152,,24.191404342651367,5.183872222900391,5.804164886474609,13.203367233276367,0.8662534952163696
6240,53,0.0003971524129156,,,,,,,,,,
6249,53,,,,,,0.4446544647216797,,,,,
6299,53,,,,,,0.4434054791927337,,,,,
6349,53,,,,,,0.5484169721603394,,,,,
6359,53,,14.431148529052734,5.694698333740234,3.089837551116944,5.646612644195557,,21.99822807312012,4.585733413696289,6.003544330596924,11.408949851989746,0.7877411842346191
6360,54,0.0003925863711629,,,,,,,,,,
6399,54,,,,,,0.3650834858417511,,,,,
6449,54,,,,,,0.5388032793998718,,,,,
6479,54,,13.879233360290527,5.617915630340576,2.936044454574585,5.325273036956787,,23.85910415649414,4.89587926864624,4.674346446990967,14.28887939453125,0.8700432777404785
6480,55,0.0003879487921949,,,,,,,,,,
6499,55,,,,,,0.421923279762268,,,,,
6549,55,,,,,,0.514979362487793,,,,,
6599,55,,13.916646003723145,5.436727523803711,3.065213203430176,5.414705276489258,0.496720552444458,23.26096534729004,4.56358003616333,6.38015079498291,12.317234992980955,0.8282313346862793
6600,56,0.0003832420043181,,,,,,,,,,
6649,56,,,,,,0.5159354209899902,,,,,
6699,56,,,,,,0.480413556098938,,,,,
6719,56,,14.076044082641602,5.584113121032715,3.0166890621185303,5.475242137908936,,26.030128479003903,4.253433704376221,7.465662479400635,14.31103229522705,0.9192914366722108
6720,57,0.0003784683649428,,,,,,,,,,
6749,57,,,,,,0.4617618024349212,,,,,
6799,57,,,,,,0.4101914465427398,,,,,
